question_id,medium,subject,class_level,chapter,topic,subtopic,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,explanation
APSGT-TEL-HQ-0058,Telugu,Telugu,SGT,సాహిత్యం,కవులు–రచనలు,ప్రబంధ సాహిత్యం,Medium,MCQ,'మనుచరిత్ర' ప్రబంధాన్ని రచించినది ఎవరు?,శ్రీనాథుడు,నంది తిమ్మన,ధూర్జటి,అల్లసాని పెద్దన,D,అల్లసాని పెద్దన 'మనుచరిత్ర' (స్వారోచిష మనుసంభవం) రచించాడు. ఆయనను 'ఆంధ్ర కవితా పితామహుడు' అంటారు.
APSGT-TEL-HQ-0059,Telugu,Telugu,SGT,సాహిత్యం,కవులు–రచనలు,ఆధునిక సాహిత్యం,Hard,MCQ,'గబ్బిలం' కావ్యాన్ని రచించిన కవి ఎవరు?,కందుకూరి వీరేశలింగం,గుర్రం జాషువా,శ్రీశ్రీ,దాశరథి,B,గుర్రం జాషువా 'గబ్బిలం' కావ్యాన్ని రచించాడు. సామాజిక అసమానతలను ఇందులో చిత్రించాడు.
APSGT-TEL-HQ-0060,Telugu,Telugu,SGT,సాహిత్యం,కవులు–రచనలు,గద్య సాహిత్యం,Hard,MCQ,తెలుగులో మొదటి నవలగా పరిగణించే 'రాజశేఖర చరిత్రము' రచించినది ఎవరు?,చిలకమర్తి లక్ష్మీనరసింహం,కందుకూరి వీరేశలింగం,ఉన్నవ లక్ష్మీనారాయణ,గురజాడ అప్పారావు,B,కందుకూరి వీరేశలింగం రచించిన 'రాజశేఖర చరిత్రము' తెలుగులో మొదటి నవలగా పరిగణించబడుతుంది.
APSGT-TEL-HQ-0061,Telugu,Telugu,Class 6,వ్యాకరణం,లింగాలు,పుంలింగం,Easy,MCQ,'రాముడు' అనే పదం ఏ లింగానికి చెందుతుంది?,నపుంసకలింగం,పుంలింగం,ఉభయలింగం,స్త్రీలింగం,B,పురుషులను సూచించే పదాలు పుంలింగానికి చెందుతాయి. 'రాముడు' పురుష వాచకం కాబట్టి పుంలింగం.
APSGT-TEL-HQ-0062,Telugu,Telugu,Class 6,వ్యాకరణం,వచనాలు,బహువచనం,Easy,MCQ,'పుస్తకం' అనే పదానికి సరైన బహువచన రూపం ఏది?,పుస్తకాన,పుస్తకపు,పుస్తకము,పుస్తకాలు,D,ఏకవచనం 'పుస్తకం'కి బహువచనం 'పుస్తకాలు'. తెలుగులో సాధారణంగా 'లు' ప్రత్యయంతో బహువచనం ఏర్పడుతుంది.
APSGT-TEL-HQ-0063,Telugu,Telugu,Class 7,వ్యాకరణం,కాలాలు,భూతకాలం,Easy,MCQ,'రవి పాఠశాలకు వెళ్ళాడు' అనే వాక్యంలోని క్రియ ఏ కాలాన్ని సూచిస్తుంది?,భూతకాలం,వర్తమాన కాలం,తద్ధర్మ కాలం,భవిష్యత్ కాలం,A,'వెళ్ళాడు' అనే క్రియ ఇప్పటికే జరిగిపోయిన చర్యను సూచిస్తుంది కాబట్టి ఇది భూతకాలం.
APSGT-TEL-HQ-0064,Telugu,Telugu,Class 7,వ్యాకరణం,కాలాలు,వర్తమాన కాలం,Easy,MCQ,'సీత పాట పాడుతున్నది' అనే వాక్యంలోని క్రియ ఏ కాలాన్ని సూచిస్తుంది?,ఆజ్ఞార్థకం,భవిష్యత్ కాలం,భూతకాలం,వర్తమాన కాలం,D,'పాడుతున్నది' అనే క్రియ ప్రస్తుతం జరుగుతున్న చర్యను సూచిస్తుంది కాబట్టి ఇది వర్తమాన కాలం.
APSGT-TEL-HQ-0065,Telugu,Telugu,Class 8,వ్యాకరణం,వాక్యాలు,కర్త–కర్మ,Medium,Analysis,'రైతు పొలంలో విత్తనాలు చల్లాడు' అనే వాక్యంలో కర్మ ఏది?,చల్లాడు,విత్తనాలు,పొలంలో,రైతు,B,క్రియ ద్వారా జరిగిన పనికి గురైనది కర్మ. ఇక్కడ చల్లబడినవి 'విత్తనాలు' కాబట్టి అదే కర్మ. 'రైతు' కర్త.
APSGT-TEL-HQ-0066,Telugu,Telugu,SGT,బోధనా పద్ధతులు,భాషా నైపుణ్యాలు,నైపుణ్యాల క్రమం,Medium,MCQ,భాషా నైపుణ్యాలను సహజంగా అభివృద్ధి చెందే క్రమంలో సరిగ్గా పేర్కొన్న ఎంపిక ఏది?,"వినడం, మాట్లాడటం, చదవడం, రాయడం","చదవడం, రాయడం, వినడం, మాట్లాడటం","మాట్లాడటం, వినడం, రాయడం, చదవడం","రాయడం, చదవడం, మాట్లాడటం, వినడం",A,"శిశువు మొదట వింటుంది, తర్వాత మాట్లాడుతుంది, ఆ తర్వాత చదవడం, చివరగా రాయడం నేర్చుకుంటుంది. ఇదే సహజ క్రమం."
APSGT-TEL-HQ-0067,Telugu,Telugu,SGT,బోధనా పద్ధతులు,మూల్యాంకనం,నిర్మాణాత్మక మూల్యాంకనం,Medium,MCQ,నిర్మాణాత్మక మూల్యాంకనం (Formative Assessment) ముఖ్య ఉద్దేశం ఏమిటి?,విద్యార్థులను ర్యాంకుల ప్రకారం వరుసలో ఉంచడం,విద్యార్థులకు తుది గ్రేడ్లు ఇవ్వడం,సంవత్సరాంతంలో ఉత్తీర్ణతను నిర్ణయించడం,బోధన జరుగుతున్నప్పుడే అభ్యసన లోపాలను గుర్తించి సరిదిద్దడం,D,"నిర్మాణాత్మక మూల్యాంకనం నిరంతరం జరుగుతూ, అభ్యసనలో లోపాలను గుర్తించి వెంటనే సరిదిద్దడానికి ఉపయోగపడుతుంది."
APSGT-TEL-HQ-0068,Telugu,Telugu,SGT,బోధనా పద్ధతులు,పఠన బోధన,మౌన పఠనం,Hard,Application,మౌన పఠనం (Silent Reading) వల్ల విద్యార్థికి కలిగే ప్రధాన ప్రయోజనం ఏమిటి?,చదివిన విషయాన్ని అర్థం చేసుకునే వేగం పెరగడం,తరగతిలో అందరూ కలిసి చదవడం,స్వరంలో హెచ్చుతగ్గులు అలవడటం,ఉచ్చారణ స్పష్టత పెరగడం,A,"మౌన పఠనంలో ఉచ్చారణపై శ్రద్ధ అవసరం లేకపోవడం వల్ల విద్యార్థి భావగ్రహణంపై దృష్టి పెట్టగలడు; పఠన వేగం, అవగాహన పెరుగుతాయి."
APSGT-TEL-HQ-0069,Telugu,Telugu,SGT,బోధనా పద్ధతులు,బోధన–అభ్యసనం,బోధనోపకరణాలు,Medium,Application,ప్రాథమిక తరగతుల్లో తెలుగు పదజాల బోధనకు అత్యంత అనువైన బోధనోపకరణం ఏది?,వ్యాకరణ సూత్రాల జాబితా,ముద్రిత ప్రశ్నపత్రాలు,సుదీర్ఘ ఉపన్యాసం,చిత్రపట కార్డులు (Picture Cards),D,"చిన్న పిల్లలు మూర్తమైన (concrete) అనుభవాల ద్వారా బాగా నేర్చుకుంటారు. చిత్రపట కార్డులు పదానికి, అర్థానికి మధ్య సంబంధాన్ని సులభంగా ఏర్పరుస్తాయి."
APSGT-TEL-HQ-0070,Telugu,Telugu,SGT,బోధనా పద్ధతులు,పాఠ ప్రణాళిక,అభ్యసన ఫలితాలు,Hard,Application,పాఠ ప్రణాళిక రూపొందించేటప్పుడు ఉపాధ్యాయుడు మొదట స్పష్టంగా నిర్ణయించవలసినది ఏది?,ఆశించిన అభ్యసన ఫలితాలు,గృహపాఠం ఇవ్వవలసిన ప్రశ్నలు,పాఠానికి కేటాయించే కాల వ్యవధి,ఉపయోగించే బోధనోపకరణాలు,A,"ఏ ఫలితాలను సాధించాలో ముందుగా నిర్ణయిస్తేనే వాటికి అనుగుణంగా బోధనోపకరణాలు, కార్యకలాపాలు, మూల్యాంకనం ఎంపిక చేయగలం."
